epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1061.77,0.97021,1.88115,1.55266,0.75956,0.60712,0.60897,0.39045,1.21176,1.87044,1.79406,0.000165689,0.000165689,0.000165689
43,1086.58,0.9534,1.90741,1.54471,0.65015,0.59152,0.64186,0.42548,1.18381,1.88267,1.72637,0.000164105,0.000164105,0.000164105
44,1112.53,0.94056,1.89458,1.52017,0.63693,0.63106,0.65892,0.41032,1.17586,1.94953,1.75395,0.000162494,0.000162494,0.000162494
45,1138.75,0.90109,1.75661,1.50306,0.66005,0.60227,0.65765,0.41664,1.16926,1.89191,1.74717,0.000160855,0.000160855,0.000160855
46,1162.15,0.91691,1.85283,1.53864,0.63577,0.60462,0.66692,0.42032,1.16078,1.78598,1.75829,0.000159191,0.000159191,0.000159191
47,1186.5,0.87329,1.72908,1.49125,0.68582,0.58611,0.66298,0.40393,1.24373,1.83519,1.87924,0.000157501,0.000157501,0.000157501
48,1210.53,0.87679,1.66522,1.49326,0.66586,0.64872,0.67959,0.41535,1.18514,1.85355,1.79475,0.000155786,0.000155786,0.000155786
49,1234.09,0.8783,1.7371,1.50724,0.63432,0.61547,0.6575,0.41895,1.13869,1.85939,1.71309,0.000154047,0.000154047,0.000154047
50,1259.39,0.88141,1.69538,1.4947,0.69217,0.58253,0.66777,0.41993,1.13784,1.7756,1.71899,0.000152285,0.000152285,0.000152285
51,1284.44,0.87934,1.76491,1.46744,0.56891,0.7779,0.6742,0.44442,1.14467,1.87574,1.71181,0.0001505,0.0001505,0.0001505
52,1309.2,0.84,1.61861,1.45568,0.61919,0.56083,0.68202,0.4541,1.17031,1.88514,1.76987,0.000148694,0.000148694,0.000148694
53,1332.91,0.83971,1.59422,1.45782,0.70189,0.60103,0.70821,0.42995,1.17414,1.80041,1.78537,0.000146866,0.000146866,0.000146866
54,1359.27,0.87206,1.73555,1.4599,0.61557,0.81753,0.67673,0.40555,1.19865,1.86783,1.7732,0.000145019,0.000145019,0.000145019
55,1384.01,0.86577,1.63294,1.46829,0.6097,0.81805,0.67211,0.41674,1.19884,1.81326,1.77301,0.000143152,0.000143152,0.000143152
56,1406.97,0.85835,1.58768,1.45368,0.67916,0.61282,0.69022,0.43747,1.1465,1.75124,1.71836,0.000141267,0.000141267,0.000141267
57,1431.76,0.83037,1.48345,1.42837,0.64237,0.64199,0.65755,0.42036,1.16578,1.79622,1.74318,0.000139364,0.000139364,0.000139364
58,1456.52,0.81309,1.52858,1.42093,0.64235,0.6248,0.63938,0.42137,1.12065,1.76881,1.70085,0.000137444,0.000137444,0.000137444
59,1480.59,0.82035,1.63611,1.42429,0.63894,0.63298,0.66278,0.42491,1.18669,1.75355,1.76018,0.000135509,0.000135509,0.000135509
60,1504.56,0.83867,1.53665,1.42575,0.62212,0.81056,0.75125,0.47216,1.13411,1.79904,1.71692,0.000133558,0.000133558,0.000133558
